Month,Sales_volume,Revenue,Cost,Promotion_expense,Profit,Version,Unit_price,Unit_cost,ROI,Profit_rate,Target,Time_to_peak,Total_sales
12,9350.0,1188646.25,522808.77,178296.9375,487540.5425,2,127.127941176471,55.9153764705882,0.695388066713178,0.41016454012285,13776.0,4,252866.0
1,13776.0,1870893.02,759679.02,280633.953,830580.047,2,135.808146051103,55.1451088850174,0.798394395298962,0.443948445005156,8528.0,4,252866.0
1,0.0,0.0,0.0,0.0,0.0,3,103.321620146838,46.1791217446213,0.658861807140247,0.385354158076316,8528.0,6,612542.0
2,8528.0,1164458.51,475573.01,174668.7765,514216.7235,3,136.545322467167,55.7660659005629,0.790808487205705,0.441592997160543,11503.0,6,612542.0
3,11503.0,1564528.04,655785.07,234679.206,674063.764,3,136.010435538555,57.0099165435104,0.756980130666129,0.430841600000982,22991.0,6,612542.0
4,22991.0,2656897.78,1089322.59,398534.667,1169040.523,3,115.562514897134,47.3803918924797,0.78572088652991,0.440002070008128,33190.0,6,612542.0
5,33190.0,3731470.4,1570674.94,559720.56,1601074.9,3,112.427550467008,47.3237402832178,0.751538810516639,0.429073455868764,67626.0,6,612542.0
6,67626.0,4859027.45,2998989.64,728854.1175,1131183.6925,3,71.8514691095141,44.3466956496022,0.303441819476523,0.232800432625669,133605.0,6,612542.0
7,133605.0,8550884.16,5481305.89999999,1282632.624,1786945.63600001,3,64.0012286965308,41.0262033606526,0.264187149197102,0.208977879078181,71023.0,6,612542.0
8,71023.0,4642571.26575,2944223.03,696385.6898625,1001962.5458875,3,65.3671524118947,41.4545010771159,0.275218410707246,0.215820606412519,54675.0,6,612542.0
9,54675.0,3799821.08,2298533.51,569973.162,931314.408,3,69.4983279378144,42.039936168267,0.324668726445967,0.245094279018,27897.0,6,612542.0
10,27897.0,2242900.99,1208093.07,336435.1485,698372.7715,3,80.3993615800982,43.3054833853102,0.452159282773246,0.311370307745952,21755.0,6,612542.0
11,21755.0,2093890.84026067,1020205.53,314083.6260391,759601.68422157,3,96.2487170885162,46.8952208687658,0.569293155672855,0.362770431780009,20117.0,6,612542.0
12,20117.0,1917485.72454728,937704.78,287622.858682092,692158.085865188,3,95.3166836281394,46.6125555500323,0.56487592707012,0.360971702164097,14024.0,6,612542.0
1,14024.0,1180018.48852929,621549.99,177002.773279393,381465.725249897,3,84.1427901119003,44.3204499429549,0.477696331152049,0.323270973258508,12402.0,6,612542.0
2,12402.0,1466021.62177448,551943.57,219903.243266172,694174.808508308,3,118.208484258545,44.5044000967586,0.899368626749673,0.473509256751667,17984.0,6,612542.0
3,17984.0,2871273.47,801989.41,430691.0205,1638593.0395,3,159.657110209075,44.5946068727758,1.32929265278865,0.570685118161176,9295.0,6,612542.0
4,9295.0,1101860.49,433298.87,165279.0735,503282.5465,3,118.543355567509,46.6163388918774,0.840797012260777,0.456757049615238,8994.0,6,612542.0
5,8994.0,915142.49,412331.2,137271.3735,365539.9165,3,101.750332443851,45.8451412052479,0.665098626034727,0.399434973782061,10746.0,6,612542.0
6,10746.0,1376457.46859653,488479.05,206468.620289479,681509.798307051,3,128.090216694261,45.4568257956449,0.980663476464594,0.495118675190113,6695.0,6,612542.0
7,6695.0,714790.587918,308261.34,107218.5881877,299310.6597303,3,106.764837627782,46.0435160567588,0.72039739930609,0.418738949266406,6891.0,6,612542.0
8,6891.0,716219.75453,309172.85,107432.9631795,299613.9413505,3,103.935532510521,44.8661805253229,0.719178494087425,0.41832683258941,12966.0,6,612542.0
9,12966.0,1062115.6,590442.22,159317.34,312356.04,3,81.9154403825389,45.5377309887398,0.416608279059489,0.294088553072754,6470.0,6,612542.0
